sentence,intent,cluster
Wondering when the billing cycle ends,Increased Bill,24
What is the penalty for paying my bill one day late,Increased Bill,11
Why do I have all the forty dollar charges on my bill,Increased Bill,30
Where is the six hundred dollar credit that supposed to be on my bill,Increased Bill,30
Why do I have thirty dollars and thirty one cents online billing,Increased Bill,30
I would like to discuss with an operator about potential of what is going on with my billing contract,Increased Bill,14
Want to know about saving thirty percent thirty dollars each month on my bill,Increased Bill,26
How can three dollars to my bill,Increased Bill,29
My my spectrum bill for my phone why am I still paying forty five dollars a month for,Increased Bill,8
My billing statement why did the prices go up because I was guaranteed two years at the same price,Increased Bill,24
Why you taking twenty five dollars out of my account my bill is paid,Increased Bill,30
Couple of things number one why was my bill not paid because I have autopay,Increased Bill,15
Why was the modem not working like to pay my bill is two hundred something dollars,Increased Bill,3
Why am I getting a fourteen dollar bill on service I disconnected multiple months ago,Increased Bill,30
My bill plus losing all these channels,Increased Bill,8
Wondering why I'm billed for home phone,Increased Bill,7
